Designator,Mid X,Mid Y,Rotation,Layer
R30_3,208.2,-46.24,0.0,top
R30_2,137.2,-46.24,0.0,top
R30,66.2,-46.24,0.0,top
R31_3,208.21,-47.26,0.0,top
R31_2,66.21,-47.26,0.0,top
R31,137.21,-47.26,0.0,top
R32_3,173.8,-57.6,0.0,top
R32_2,31.8,-57.6,0.0,top
R32,102.8,-57.6,0.0,top
R33_3,173.8,-58.6,0.0,top
R33_2,102.8,-58.6,0.0,top
R33,31.8,-58.6,0.0,top
R38_3,48.4,-20.4625,90.0,top
R38_2,119.4,-20.4625,90.0,top
R38,190.4,-20.4625,90.0,top
R39_3,49.4,-20.4625,90.0,top
R39_2,191.4,-20.4625,90.0,top
R39,120.4,-20.4625,90.0,top
R4_3,65.5,-26.425,0.0,top
R4_2,136.5,-26.425,0.0,top
R4,207.5,-26.425,0.0,top
R46_3,187.7,-21.2625,180.0,top
R46_2,45.7,-21.2625,180.0,top
R46,116.7,-21.2625,180.0,top
R49_3,51.69,-20.9625,0.0,top
R49_2,122.69,-20.9625,0.0,top
R49,193.69,-20.9625,0.0,top
R5_3,136.7,-23.1,90.0,top
R5_2,207.7,-23.1,90.0,top
R5,65.7,-23.1,90.0,top
R50_3,120.371957,-17.597454,90.0,top
R50_2,191.371957,-17.597454,90.0,top
R50,49.371957,-17.597454,90.0,top
R6_3,131.377,-26.279,0.0,top
R6_2,60.377,-26.279,0.0,top
R6,202.377,-26.279,0.0,top
R7_3,60.366,-25.093,0.0,top
R7_2,131.366,-25.093,0.0,top
R7,202.366,-25.093,0.0,top
R8_3,206.4,-39.875,180.0,top
R8_2,135.4,-39.875,180.0,top
R8,64.4,-39.875,180.0,top
R9_3,66.375,-39.875,0.0,top
R9_2,137.375,-39.875,0.0,top
R9,208.375,-39.875,0.0,top
U1_3,166.26,-27.656,90.0,top
U1_2,24.26,-27.656,90.0,top
U1,95.26,-27.656,90.0,top
U10_3,46.641957,-19.343454,180.0,top
U10_2,117.641957,-19.343454,180.0,top
U10,188.641957,-19.343454,180.0,top
U11_3,193.381,-18.83775,0.0,top
U11_2,51.381,-18.83775,0.0,top
U11,122.381,-18.83775,0.0,top
U2_3,205.047,-25.5,180.0,top
U2_2,134.047,-25.5,180.0,top
U2,63.047,-25.5,180.0,top
U3_3,113.35,-46.655,180.0,top
U3_2,184.35,-46.655,180.0,top
U3,42.35,-46.655,180.0,top
U4_3,118.975,-41.655,180.0,top
U4_2,47.975,-41.655,180.0,top
U4,189.975,-41.655,180.0,top
U6_3,201.1615,-45.55,90.0,top
U6_2,130.1615,-45.55,90.0,top
U6,59.1615,-45.55,90.0,top
U8_3,113.3,-30.8,0.0,top
U8_2,42.3,-30.8,0.0,top
U8,184.3,-30.8,0.0,top
